1,0,65
4,-3,60
1,0,58
2,2,62
3,-2,66
3,0,65
8,-2,63
6,-1,63
6,2,67
14,-2,77
29,-10,82
9,21,73
42,-36,56
-14,-32,47
4,-9,59
0,-4,54
3,-2,59
-10,-1,55
-10,1,54
-25,-9,67
-28,-17,73
-24,-13,54
-31,-24,59
-21,-24,62
-20,-16,58
-22,-17,54
-8,-19,65
-17,-24,61
-14,-26,60
-11,-21,64
-12,-12,55
-8,-10,57
-8,-5,59
-10,-3,58
-11,-6,62
-10,-6,62
-18,-8,59
-15,-14,65
-15,-12,63
-10,-12,60
-10,-13,59
-13,-18,59
-4,-23,68
-15,-24,60
-30,-38,45
-36,-57,54
21,-26,55
-49,3,82
-23,3,75
-24,-19,59
-29,-16,59
-21,-27,51
-15,-38,43
-17,-40,42
-20,-36,44
-11,-31,41
-25,-25,50
-9,-34,77
-14,-23,68
-10,-26,51
-8,-36,46
-13,-50,42
-8,-48,39
-6,-47,34
-17,-51,35
-16,-41,43
-19,-34,44
-26,-26,52
-36,-22,65
-33,-20,74
-28,-23,66
-24,-22,43
-11,-47,34
1,-50,35
-7,-63,50
-49,-83,35
-7,-122,54
-46,-101,32
-59,-85,45
-25,-29,37
-46,3,16
-47,20,16
-43,15,39
-48,23,31
-49,43,35
-65,46,39
-77,40,45
-83,10,61
-128,6,50
-128,-67,86
-128,-128,73
-128,-117,30
-44,-65,-1
-19,-50,-10
-1,-42,-22
16,-45,-25
52,-35,-23
62,-29,-35
53,-36,-34
43,-45,-25
28,-61,-3
0,-70,14
-128,-128,127
-128,-128,127
-128,-128,96
-66,-24,46
-63,4,30
-70,49,16
-57,65,11
-38,83,9
-26,76,11
-29,65,14
-59,35,34
-99,10,36
-128,-56,91
-128,-128,85
-128,-128,71
-70,-96,17
-29,-67,2
11,-41,-12
32,-38,-21
67,-31,-26
66,-33,-32
53,-37,-32
33,-42,-21
13,-56,-3
-22,-72,15
-128,-128,120
-128,-128,123
-128,-106,93
-86,-16,58
-60,8,34
-50,40,14
-41,49,11
-14,69,-1
-14,80,-6
-10,79,0
-42,43,22
-99,0,35
-128,-82,108
-128,-128,88
-128,-128,69
-55,-93,24
-16,-70,10
32,-51,-13
70,-33,-31
80,-26,-34
70,-28,-35
56,-36,-39
36,-54,-29
8,-54,-11
-44,-65,18
-128,-128,127
-128,-128,127
-128,-119,111
-60,-17,65
-48,4,39
-41,38,22
-26,51,12
-21,91,-5
-26,99,0
-30,80,3
-113,13,21
-128,-13,43
-128,-95,85
-128,-128,40
-128,-128,36
-7,-77,6
9,-60,-5
42,-47,-19
71,-27,-25
72,-26,-24
57,-35,-25
42,-40,-26
22,-46,-24
-12,-64,13
-76,-93,62
-128,-128,99
-128,-128,89
-128,-100,69
-72,1,25
-54,24,14
-35,42,14
-27,54,9
-19,79,-2
-21,73,3
-21,65,9
-25,47,24
-106,6,36
-128,-128,127
-128,-128,78
-128,-113,58
-23,-62,5
-3,-49,-3
18,-46,-11
51,-30,-33
72,-21,-39
60,-23,-32
58,-32,-26
43,-51,-22
16,-72,24
-88,-107,66
-128,-128,127
-128,-128,127
-120,-37,85
-84,38,34
-62,46,23
-26,57,10
-22,67,7
-12,72,14
11,60,11
23,57,10
-49,7,9
-128,-22,22
-128,-128,127
-128,-128,66
-124,-128,48
-29,-76,5
-4,-59,-7
24,-47,-18
44,-36,-23
55,-32,-27
65,-24,-24
52,-24,-19
41,-28,-13
27,-36,-1
11,-24,18
-128,-128,114
-128,-128,95
-128,-126,96
-72,-21,25
-50,-2,14
-34,35,13
-26,47,5
-10,70,-5
-9,86,-7
-5,86,-5
-33,83,-15
-92,55,-10
-128,-103,91
-128,-128,88
-128,-128,66
-44,-116,27
6,-58,-9
27,-47,-18
55,-40,-30
70,-32,-35
72,-19,-42
62,-27,-37
43,-39,-16
21,-42,1
-30,-78,35
-128,-128,105
-128,-128,110
-128,-98,82
-61,-11,33
-63,11,22
-41,31,3
-35,49,-5
-27,76,-5
-22,83,-3
-29,79,-1
-63,51,12
-113,26,16
-128,-65,60
-128,-128,53
-128,-128,46
-60,-115,17
-38,-86,3
15,-63,-4
56,-42,-18
73,-35,-24
82,-27,-23
71,-29,-21
47,-44,-23
14,-48,-7
-40,-73,16
-128,-128,91
-128,-128,70
-128,-102,83
-52,-19,41
-48,4,29
-38,42,13
-28,53,8
-13,74,-1
-17,79,3
-22,75,4
-74,30,17
-128,-4,32
-128,-88,92
-128,-128,55
-128,-128,43
-41,-89,-2
-15,-71,-13
23,-45,-18
48,-32,-24
60,-25,-27
