-44,-65,22
-40,-66,21
-36,-68,24
-33,-68,28
-35,-77,34
-40,-100,39
-40,-113,39
-29,-84,29
-24,-67,21
-20,-53,15
-33,-60,16
-41,-66,15
-37,-74,16
-33,-75,16
-33,-71,13
-44,-66,13
-49,-66,12
-39,-54,12
-36,-39,9
-30,-32,8
-25,-19,6
-23,-14,8
-29,-9,10
-40,-9,13
-40,0,13
-47,-1,21
-46,-11,28
-32,-20,29
-36,-28,29
-38,-36,28
-17,-39,29
-16,-41,30
-37,-45,30
-41,-45,26
-38,-45,26
-39,-52,27
-37,-54,28
-35,-51,25
-41,-54,27
-44,-57,28
-40,-69,29
-39,-75,28
-47,-101,35
-44,-102,40
-27,-72,25
-31,-67,19
-40,-71,22
-35,-75,23
-29,-71,21
-22,-62,19
-27,-60,19
-29,-59,18
-33,-54,15
-34,-53,16
-36,-52,15
-34,-44,13
-37,-39,12
-39,-32,13
-39,-28,14
-32,-22,20
-27,-20,27
-28,-22,32
-28,-24,35
-25,-27,33
-23,-36,28
-14,-36,29
-9,-36,32
-13,-38,31
-21,-40,27
-34,-47,25
-32,-55,27
-31,-59,28
-30,-66,31
-31,-67,33
-26,-63,31
-25,-64,31
-26,-66,33
-29,-78,35
-30,-88,36
-33,-106,41
-24,-67,30
-23,-57,26
-29,-56,25
-32,-63,25
-27,-78,24
-19,-81,24
-16,-76,24
-21,-64,21
-24,-60,19
-28,-52,14
-25,-45,13
-23,-41,12
-19,-32,11
-17,-26,11
-20,-21,10
-22,-28,15
-22,-31,15
-24,-48,21
-20,-52,29
-19,-61,36
-10,-82,33
-13,-88,31
-15,-78,28
-16,-68,28
-20,-57,27
-24,-52,22
-25,-51,20
-28,-50,19
-27,-50,19
-24,-51,22
-27,-54,24
-29,-57,26
-31,-61,31
-30,-69,34
-28,-87,35
-25,-104,36
-25,-96,35
-24,-73,26
-27,-65,19
-28,-71,17
-26,-77,16
-10,-75,17
-8,-63,16
-11,-59,15
-13,-54,11
-17,-49,9
-18,-45,7
-16,-39,6
-15,-36,6
-18,-31,6
-24,-38,10
-26,-43,12
-24,-53,15
-24,-62,15
-24,-74,23
-26,-68,32
-24,-69,32
-14,-83,26
-13,-78,25
-7,-59,26
-16,-50,25
-25,-48,20
-34,-45,16
-32,-46,18
-26,-49,22
-23,-53,25
-22,-55,25
-24,-59,27
-26,-64,29
-29,-84,33
-29,-102,38
-27,-101,39
-23,-84,28
-21,-80,21
-23,-82,17
-28,-81,18
-26,-76,16
-21,-65,13
-21,-63,12
-23,-61,11
-23,-58,11
-22,-54,10
-17,-44,8
-15,-37,7
-13,-26,4
-19,-22,3
-23,-24,5
-28,-29,10
-29,-33,11
-31,-39,15
-30,-47,24
-27,-51,27
-16,-73,36
-10,-91,40
-11,-94,35
-13,-69,31
-16,-61,28
-24,-58,25
-28,-55,23
-28,-54,23
-26,-47,24
-25,-47,24
-24,-50,24
-25,-52,24
-29,-62,29
-31,-87,36
-30,-100,37
-25,-97,41
-20,-83,34
-17,-70,22
-24,-71,22
-31,-74,20
-29,-80,18
-27,-80,17
-26,-76,17
-25,-69,14
-25,-63,12
-26,-50,9
-24,-44,8
-16,-30,6
-14,-19,4
-18,-18,5
-26,-21,8
-27,-22,11
-30,-28,14
-35,-40,17
-37,-47,24
-30,-47,32
-22,-50,33
-14,-77,29
-19,-91,31
-18,-84,33
-17,-67,27
-22,-62,23
-34,-57,18
-37,-55,18
-33,-54,19
-28,-53,20
-26,-53,22
-26,-57,25
-30,-66,31
-33,-78,35
-31,-106,39
-29,-109,40
-18,-76,30
-16,-62,21
-21,-64,21
-34,-74,18
-41,-80,16
-30,-81,16
-24,-77,17
-22,-75,17
-25,-66,14
-28,-61,13
-27,-49,8
-22,-35,4
-21,-29,3
-21,-18,4
-24,-17,4
-27,-16,7
-25,-14,7
-28,-18,7
-44,-32,21
-43,-33,27
-27,-46,31
-10,-79,26
-12,-87,25
-12,-87,36
-17,-82,36
-27,-65,24
-35,-59,20
-35,-59,21
-29,-54,23
-26,-52,24
-24,-50,23
-25,-53,25
-26,-57,26
-30,-74,30
-31,-86,32
-33,-108,41
-24,-77,33
-22,-65,24
-24,-64,21
-31,-70,22
-34,-79,21
-20,-74,20
-17,-72,20
-13,-67,20
-18,-65,19
-23,-61,14
-24,-54,9
-21,-50,8
-15,-37,6
-14,-31,4
-17,-22,4
-26,-22,7
-27,-23,10
-30,-34,12
-27,-40,17
-25,-50,28
-19,-76,36
-9,-99,38
-1,-102,33
-3,-89,34
-13,-62,29
-28,-53,20
